type,part,expr
ode_pde,ode_depth_2,(x + 1)*exp(x)
ode_pde,ode_depth_2,cos(x/9)
ode_pde,ode_depth_2,-12*x
ode_pde,ode_depth_2,0.143*x
ode_pde,ode_depth_2,log(x) + 1
ode_pde,ode_depth_2,exp(x^2)
ode_pde,ode_depth_2,x
ode_pde,ode_depth_2,-x + sin(x) - 5
ode_pde,ode_depth_2,exp(-8*x)
ode_pde,ode_depth_2,7*x + 10
ode_pde,ode_depth_2,2*x
ode_pde,ode_depth_2,2 - 2*x
ode_pde,ode_depth_2,x^2/(x - 10)
ode_pde,ode_depth_2,cos(x^2)
ode_pde,ode_depth_2,cos(x + 8)
ode_pde,ode_depth_2,cos(x + 7)
ode_pde,ode_depth_2,-10/x
ode_pde,ode_depth_2,cos(x)
ode_pde,ode_depth_2,(x + 7)/sin(x)
ode_pde,ode_depth_2,cos(x/4)
ode_pde,ode_depth_2,-0.3*x
ode_pde,ode_depth_2,-x^2/(x - 9)
ode_pde,ode_depth_2,sin(x/8)
ode_pde,ode_depth_2,0.5*x
ode_pde,ode_depth_2,9/(x - 10)
ode_pde,ode_depth_2,-x
ode_pde,ode_depth_2,sin(sin(x))
ode_pde,ode_depth_2,cos(exp(x))
ode_pde,ode_depth_2,-x + 6/x
ode_pde,ode_depth_2,exp(-x)
ode_pde,ode_depth_2,exp(sin(x))
ode_pde,ode_depth_2,x + sin(x)
ode_pde,ode_depth_2,-x^2 + x - 2
ode_pde,ode_depth_2,10*x^2
ode_pde,ode_depth_2,x - 10
ode_pde,ode_depth_2,-25.3*x
ode_pde,ode_depth_2,2.65*x - 18.5
ode_pde,ode_depth_2,x^3
ode_pde,ode_depth_2,0.5 - 0.125*x
ode_pde,ode_depth_2,log(2*x)
ode_pde,ode_depth_2,7*x
ode_pde,ode_depth_2,exp(x + 2)
ode_pde,ode_depth_2,x^2 - exp(x)
ode_pde,ode_depth_2,-log(x) + sin(x)
ode_pde,ode_depth_2,0.2*x*(x + 10)
ode_pde,ode_depth_2,cos(cos(x))
ode_pde,ode_depth_2,x - 1
ode_pde,ode_depth_2,0.2*x*(x + 6)
ode_pde,ode_depth_2,log(x/3)
ode_pde,ode_depth_2,cos(x + 6)
ode_pde,ode_depth_2,-0.707*x
ode_pde,ode_depth_2,exp(9 - x)
ode_pde,ode_depth_2,4*x^2
ode_pde,ode_depth_2,exp(2*x)
ode_pde,ode_depth_2,-cos(x)
ode_pde,ode_depth_2,x + 1
ode_pde,ode_depth_2,-10*x
ode_pde,ode_depth_2,2*x + 7
ode_pde,ode_depth_2,cos(x + 1)
ode_pde,ode_depth_2,-x^2
ode_pde,ode_depth_2,cos(x + 2)
ode_pde,ode_depth_2,-8*x
ode_pde,ode_depth_2,-9*x^2
ode_pde,ode_depth_2,sin(log(x))
ode_pde,ode_depth_2,x*(1 - x)
ode_pde,ode_depth_2,7.5*x
ode_pde,ode_depth_2,cos(x) + 19
ode_pde,ode_depth_2,0.333*x^2
ode_pde,ode_depth_2,0.333*cos(x)
ode_pde,ode_depth_2,-6*x
ode_pde,ode_depth_2,cos(x - 2)
ode_pde,ode_depth_2,-2/x
ode_pde,ode_depth_2,x^2*(-x - 9)
ode_pde,ode_depth_2,2 - x
ode_pde,ode_depth_2,sin(x)
ode_pde,ode_depth_2,8*x + 4
ode_pde,ode_depth_2,x - 5
ode_pde,ode_depth_2,(10 - x)*cos(x)
ode_pde,ode_depth_2,10 + 6/x
ode_pde,ode_depth_2,exp(x) + 4/x
ode_pde,ode_depth_2,exp(-x - 3)
ode_pde,ode_depth_2,2.45*x^2
ode_pde,ode_depth_2,x*(-x - 1)
ode_pde,ode_depth_2,log(4 - x)
ode_pde,ode_depth_2,x + 13
ode_pde,ode_depth_2,-x^2 + log(x)
ode_pde,ode_depth_2,10 - x^2
ode_pde,ode_depth_2,3*x
ode_pde,ode_depth_2,x + 9
ode_pde,ode_depth_2,exp(cos(x))
ode_pde,ode_depth_2,2/x
ode_pde,ode_depth_2,-0.333*x - 10
ode_pde,ode_depth_2,(x + 3)/x
ode_pde,ode_depth_2,7.89*x
ode_pde,ode_depth_2,x*(x + 1)
ode_pde,ode_depth_2,cos(sqrt(x))
ode_pde,ode_depth_2,exp(-x/10)
ode_pde,ode_depth_2,2*x*(x - 8)
ode_pde,ode_depth_2,-3*x
ode_pde,ode_depth_2,4*x
ode_pde,ode_depth_2,-1/x^2
